official,additional
我/r 需要/v 开通/v portal/eng 系统/n 的/uj 权限/n 参考/v 我/r 同事/n 的/uj 账号/n 谢谢/nr,portal/eng 上/f 的/uj 某某/r 信息/n 我/r 没有/v 权限/n 查询/v 可以/c 帮忙/v 开通/v 吗/y
你好/l,请问/v 在/p 吗/y
你好/l,hello/eng
能否/v 协助/v 查询/v 一下/m 组件/n 管理员/n 的/uj 姓名/n 谢谢/nr,某个/r 组件/n 管理员/n 可以/c 帮/v 我/r 查/v 一下/m 吗/y
能否/v 协助/v 查询/v 一下/m 组件/n 管理员/n 的/uj 姓名/n 谢谢/nr,task/eng 组件/n 管理员/n 是/v
能否/v 协助/v 查询/v 一下/m 组件/n 管理员/n 的/uj 姓名/n 谢谢/nr,pms/eng 组件/n 管理员/n 是/v
我/r 想/v 知道/v 这个/r 组件/n 是否/v 可以/c 使用/v 岗位/n 进行/v 管理/vn 能否/v 协助/v 查询/v 一下/m 谢谢/nr,我/r 想/v 知道/v 这个/r 组件/n 是否/v 不能/v 使用/v 岗位/n 进行/v 管理/vn 能否/v 协助/v 查询/v 一下/m 谢谢/nr
我/r 想/v 知道/v 这个/r 组件/n 是否/v 可以/c 使用/v 岗位/n 进行/v 管理/vn 能否/v 协助/v 查询/v 一下/m 谢谢/nr,这个/r 组件/n 可以/c 使用/v 岗位/n 进行/v 管理/vn
我/r 想/v 查询/v 某个/r 角色/n 中/f 的/uj 权限/n 是否/v 包含/v 在/p 某个/r 岗位/n 中/f 能否/v 协助/v 查询/v 一下/m 谢谢/nr,能/v 不能/v 帮忙/v 查/v 一下/m 某个/r 岗位/n 中/f 是否/v 有/v 某个/r 角色/n 的/uj 权限/n
我/r 想/v 查询/v 某个/r 角色/n 中/f 的/uj 权限/n 是否/v 包含/v 在/p 某个/r 岗位/n 中/f 能否/v 协助/v 查询/v 一下/m 谢谢/nr,某个/r 岗位/n 中/f 有/v 某个/r 角色/n 的/uj 权限/n 吗/y 能/v 帮忙/v 看/v 下/f
我/r 想/v 查询/v 某个/r 角色/n 中/f 的/uj 权限/n 是否/v 包含/v 在/p 某个/r 岗位/n 中/f 能否/v 协助/v 查询/v 一下/m 谢谢/nr,岗位/n 有/v 哪些/r 角色/n 权限/n
我/r 需要/v 两个/m 组件/n 的/uj 权限/n 请/v 告知/v 哪些/r 岗位/n 里面/f 有/v,哪些/r 岗位/n 有/v 这/r 两个/m 组件/n 的/uj 权限/n 呢/y
我/r 需要/v 两个/m 组件/n 的/uj 权限/n 请/v 告知/v 哪些/r 岗位/n 里面/f 有/v,我/r 想/v 申请/v 这/r 两个/m 组件/n 的/uj 权限/n 该/r 申请/v 哪个/r 岗位/n 好/a 呢/y
我/r 需要/v 两个/m 组件/n 的/uj 权限/n 请/v 告知/v 哪些/r 岗位/n 里面/f 有/v,什么/r 岗位/n 有/v 这/r 两个/m 组件/n 的/uj 权限/n 呢/y
我/r 需要/v 两个/m 组件/n 的/uj 权限/n 请/v 告知/v 哪些/r 岗位/n 里面/f 有/v,能/v 告知/v 我/r 适合/v 申请/v 哪个/r 岗位/n 才能/v 有/v 这个/r 组件/n 的/uj 权限/n 呢/y
我/r 需要/v 两个/m 组件/n 的/uj 权限/n 请/v 告知/v 哪些/r 岗位/n 里面/f 有/v,这/r 组件/n 的/uj 权限/n 可以/c 从/p 哪个/r 岗位/n 中/f 进行/v 获取/v 呢/y
能否/v 帮忙/v 查询/v 一下/m 我/r 是否/v 有/v 这个/r 权限/n 谢谢/nr,我/r 不/d 知道/v 我/r 是否/v 有/v 这个/r 权限/n 能/v 帮/v 我/r 看/v 下么/v 谢谢/nr
能否/v 帮忙/v 查询/v 一下/m 我/r 是否/v 有/v 这个/r 权限/n 谢谢/nr,能/v 帮/v 我/r 查下/v 我/r 有没有/v 这个/r 东西/ns 的/uj 权限/n 吗/y
能否/v 帮忙/v 查询/v 一下/m 我/r 是否/v 有/v 这个/r 权限/n 谢谢/nr,我/r 想/v 知道/v 我/r 有没有/v 这个/r 权限/n 方便/a 看下/v 吗/y
能否/v 帮忙/v 查询/v 一下/m 我/r 是否/v 有/v 这个/r 权限/n 谢谢/nr,能否/v 告诉/v 我/r 我/r 有没有/v 这个/r 东西/ns 的/uj 权限/n 呢/y
能否/v 帮忙/v 查询/v 一下/m 我/r 是否/v 有/v 这个/r 权限/n 谢谢/nr,请/v 帮/v 我/r 查询/v 看下/v 我/r 是否/v 有/v 这个/r 权限/n
能否/v 帮忙/v 查询/v 一下/m 我/r 是否/v 有/v 这个/r 权限/n 谢谢/nr,我/r 不/d 确实/ad 我/r 有没有/v 这个/r 权限/n 能/v 帮/v 我/r 看/v 一下/m 么/y
我/r 不/d 知道/v 自己/r 是否/v 有/v portal/eng 账号/n 能/v 不能/v 帮忙/v 查询/v 一下/m,我/r 不/d 知道/v 自己/r 的/uj 岗位/n 怎么办/l
我/r 不/d 知道/v 自己/r 是否/v 有/v portal/eng 账号/n 能/v 不能/v 帮忙/v 查询/v 一下/m,我/r 不/d 知道/v 自己/r 的/uj 岗位/n 要/v 怎么/r 申请/v 权限/n
我/r 不/d 知道/v 自己/r 是否/v 有/v portal/eng 账号/n 能/v 不能/v 帮忙/v 查询/v 一下/m,我/r 的/uj portal/eng 账号/n 的/uj 密码/n 忘记/v 了/ul 怎么办/l
我/r 不/d 知道/v 自己/r 是否/v 有/v portal/eng 账号/n 能/v 不能/v 帮忙/v 查询/v 一下/m,我/r 忘记/v 了/ul portal/eng 账号/n 怎么办/l
我/r 不/d 知道/v 自己/r 是否/v 有/v portal/eng 账号/n 能/v 不能/v 帮忙/v 查询/v 一下/m,为什么/r 我/r 的/uj 账号/n 老/a 是/v 验证/v 不/d 通过/p
我/r 不/d 知道/v 自己/r 是否/v 有/v portal/eng 账号/n 能/v 不能/v 帮忙/v 查询/v 一下/m,我/r 问/v 了/ul 半天/m 怎么/r 都/d 没反应/v 是不是/l 挂了/v
请问/v portal/eng 账号/n 的/uj 申请/v 流程/n 在/p 哪里/r,请问/v portal/eng 权限/n 的/uj 申请/v 流程/n 在/p 哪里/r
请问/v portal/eng 账号/n 的/uj 申请/v 流程/n 在/p 哪里/r,请问/v portal/eng 权限/n 怎么/r 申请/v
请问/v portal/eng 账号/n 的/uj 申请/v 流程/n 在/p 哪里/r,portal/eng 权限/n 要/v 怎么/r 申请/v 走/v 什么/r 流程/n 呢/y
请问/v portal/eng 账号/n 的/uj 申请/v 流程/n 在/p 哪里/r,portal/eng 权限/n 的/uj 申请/v
请问/v portal/eng 账号/n 的/uj 申请/v 流程/n 在/p 哪里/r,portal/eng 权限/n 怎么/r 开通/v
我/r 的/uj portal/eng 密码/n 不能/v 登录/v 怎么办/l,怎么/r 修改/v portal/eng 账号/n 的/uj 密码/n
我/r 的/uj portal/eng 密码/n 不能/v 登录/v 怎么办/l,portal/eng 登录不了/v 能/v 帮忙/v 看/v 下/f
我/r 的/uj portal/eng 密码/n 输错/v 现在/t 需要/v 等/u 分钟/q 才能/v 登录/v 急用/v 怎么办/l,portal/eng 密码/n 输错/v 了/ul 怎么/r 解锁/v 呀/y
我/r 的/uj portal/eng 密码/n 输错/v 现在/t 需要/v 等/u 分钟/q 才能/v 登录/v 急用/v 怎么办/l,portal/eng 密码/n 输错/v 一定/d 要/v 分钟/q 后/f 才能/v 登录/v 么/y 急用/v 啊/zg
我/r 的/uj portal/eng 密码/n 输错/v 现在/t 需要/v 等/u 分钟/q 才能/v 登录/v 急用/v 怎么办/l,怎么办/l 我/r portal/eng 密码/n 输错/v 被锁/v 了/ul 但是/c 我/r 急用/v
我/r 的/uj portal/eng 密码/n 输错/v 现在/t 需要/v 等/u 分钟/q 才能/v 登录/v 急用/v 怎么办/l,portal/eng 密码/n 输错/v 被锁/v 了/ul 现在/t 急用/v 怎么/r 处理/v
我/r 的/uj portal/eng 密码/n 输错/v 现在/t 需要/v 等/u 分钟/q 才能/v 登录/v 急用/v 怎么办/l,portal/eng 密码/n 输入/v 有误/vn 等待时间/n 长/a 急需/n 登录/v 怎么办/l
我/r 的/uj portal/eng 密码/n 输错/v 现在/t 需要/v 等/u 分钟/q 才能/v 登录/v 急用/v 怎么办/l,portal/eng 密码/n 出错/v 一直/d 登录/v 不/d 进去/v 怎么办/l
我/r 是/v 深圳/ns 资源/n 设备/vn 管理部/n 的/uj 我/r 想/v 申请/v portal/eng 账号/n 请问/v 流程/n 是/v 什么/r,我/r 是/v 深圳/ns 资源/n 设备/vn 管理部/n 的/uj 我/r 想/v 申请/v portal/eng 权限/n 请问/v 流程/n 是/v 什么/r
我/r 是/v 深圳/ns 资源/n 设备/vn 管理部/n 的/uj 我/r 想/v 申请/v portal/eng 账号/n 请问/v 流程/n 是/v 什么/r,我/r 是/v 深圳/ns 资源/n 设备/vn 管理部/n 的/uj 怎么/r 申请/v portal/eng 账号/n
我/r 是/v 新员工/n 请问/v portal/eng 账号/n 和/c 密码/n 是/v 找你/v 帮忙/v 创建/v 吗/y 谢谢/nr,请问/v 我/r 没有/v portal/eng 账号/n 该/r 如何/r 开通/v
我/r 是/v 新员工/n 请问/v portal/eng 账号/n 和/c 密码/n 是/v 找你/v 帮忙/v 创建/v 吗/y 谢谢/nr,请问/v 我/r 没有/v portal/eng 账号/n 该/r 如何/r 申请/v
我/r 是/v 新员工/n 请问/v portal/eng 账号/n 和/c 密码/n 是/v 找你/v 帮忙/v 创建/v 吗/y 谢谢/nr,请问/v 申请/v 正式/ad 环境/n 的/uj 线上/a portal/eng 账号/n 是/v 找/v 哪位/r
为/p cdnw/eng 客服/n 申请/v 开通/v portal/eng 账号/n 应/v 使用/v pms/eng 的/uj 哪/r 张/q 工单/n,怎么/r 用工/n 单/d 为/p cdnw/eng 客服/n 申请/v portal/eng 账号/n
为/p cdnw/eng 客服/n 申请/v 开通/v portal/eng 账号/n 应/v 使用/v pms/eng 的/uj 哪/r 张/q 工单/n,能用/v pms/eng 工单/n 为/p cdnw/eng 客服/n 申请/v portal/eng 账号/n 么/y
为/p cdnw/eng 客服/n 申请/v 开通/v portal/eng 账号/n 应/v 使用/v pms/eng 的/uj 哪/r 张/q 工单/n,cdnw/eng 客服/n 的/uj portal/eng 账号/n 能用/v pms/eng 工单/n 申请/v 么/y
为/p cdnw/eng 客服/n 申请/v 开通/v portal/eng 账号/n 应/v 使用/v pms/eng 的/uj 哪/r 张/q 工单/n,cdnw/eng 客服/n 怎么/r 开通/v portal/eng 账号/n
为/p cdnw/eng 客服/n 申请/v 开通/v portal/eng 账号/n 应/v 使用/v pms/eng 的/uj 哪/r 张/q 工单/n,cdnw/eng 客服/n 怎么/r 在/p pms/eng 开通/v 账号/n
为/p cdnw/eng 客服/n 申请/v 开通/v portal/eng 账号/n 应/v 使用/v pms/eng 的/uj 哪/r 张/q 工单/n,cdnw/eng 客服/n 怎么/r 申请/v portal/eng 账号/n 哈/nr
提示/v 登录/v 位置/v 非法/b 怎么/r 解决/v,我/r 电脑/n 怎么/r 说/v 登录/v 位置/v 非法/b 了/ul
提示/v 登录/v 位置/v 非法/b 怎么/r 解决/v,老哥/n 登录/v 位置/v 非法/b 咋/r 整/v 啊/y
提示/v 登录/v 位置/v 非法/b 怎么/r 解决/v,小/a 哥哥/ns 帮/v 我/r 解决/v 下/f 登录/v 位置/v 非法/b 的/uj 问题/n 吧/y 笔芯/n 哦/zg
提示/v 登录/v 位置/v 非法/b 怎么/r 解决/v,登录/v 位置/v 非法/b 该/r 怎么/r 解决/v
请问/v portal/eng 账号/n 是否/v 可以/c 批量/n 创建/v,portal/eng 账号/n 怎么/r 批量/n 创建/v
请问/v portal/eng 账号/n 是否/v 可以/c 批量/n 创建/v,你好/l 如何/r 批量/n 创建/v portal/eng 账号/n
请问/v portal/eng 账号/n 是否/v 可以/c 批量/n 创建/v,怎么/r 批量/n 申请/v portal/eng 账号/n
请问/v portal/eng 账号/n 是否/v 可以/c 批量/n 创建/v,多个/m portal/eng 账号/n 怎么/r 一起/m 创建/v
请问/v portal/eng 账号/n 是否/v 可以/c 批量/n 创建/v,请教/v 下/v portal/eng 批量/n 账号/n 问题/n
申请/v 客户/n portal/eng 账号/n 的/uj 申请/v 流程/n 是/v 什么/r,请问/v 如何/r 给/p 客户/n 添加/v 权限/n
申请/v 客户/n portal/eng 账号/n 的/uj 申请/v 流程/n 是/v 什么/r,请问/v 如果/c 需要/v 为/p 客户/n 权限/n 新增/v 角色/n 该/r 怎么/r 走流程/v
请问/v portal/eng 共用/n 账号/n 如何/r 申请/v,请问/v portal/eng 公共/b 账号/n 如何/r 申请/v
请问/v portal/eng 共用/n 账号/n 如何/r 申请/v,我/r 要/v 申请/v portal/eng 共用/n 账号/n 请问/v 怎么/r 走流程/v
请问/v portal/eng 共用/n 账号/n 如何/r 申请/v,请问/v 怎么/r 申请/v portal/eng 公共/b 账号/n
我/r 需要/v 申请/v 一个/m 特殊/a 的/uj 账号/n 请问/v 该/r 要/v 如何/r 操作/v 呢/y,怎么/r 申请/v 特殊/a 权限/n
我/r 需要/v 申请/v 一个/m 特殊/a 的/uj 账号/n 请问/v 该/r 要/v 如何/r 操作/v 呢/y,需要/v 一个/m 不/d 一样/r 的/uj 账号/n 怎么/r 走流程/v
我/r 需要/v 申请/v 一个/m 特殊/a 的/uj 账号/n 请问/v 该/r 要/v 如何/r 操作/v 呢/y,你好/l 特殊/a 账号/n 要/v 怎么/r 申请/v
我/r 需要/v 申请/v 一个/m 特殊/a 的/uj 账号/n 请问/v 该/r 要/v 如何/r 操作/v 呢/y,特殊/a 账号/n 需要/v 找谁/v 申请/v 走/v 什么/r 流程/n
我/r 需要/v 申请/v 一个/m 特殊/a 的/uj 账号/n 请问/v 该/r 要/v 如何/r 操作/v 呢/y,你好/l 请教/v 下/f 特殊/a 账号/n 问题/n
请问/v 申请/v pms/eng 测试环境/n 账号/n 的/uj 流程/n 是/v 什么/r,怎么/r 申请/v pms/eng 测试/vn 账号/n
请问/v 申请/v pms/eng 测试环境/n 账号/n 的/uj 流程/n 是/v 什么/r,pms/eng 测试/vn 账号/n 怎么/r 开通/v
请问/v 申请/v pms/eng 测试环境/n 账号/n 的/uj 流程/n 是/v 什么/r,怎么/r 申请/v pms/eng 的/uj 测试环境/n 账号/n
请问/v 申请/v pms/eng 测试环境/n 账号/n 的/uj 流程/n 是/v 什么/r,pms/eng 测试环境/n 账号/n 要/v 找谁/v 开通/v
请问/v 申请/v pms/eng 测试环境/n 账号/n 的/uj 流程/n 是/v 什么/r,请问/v 我/r 需要/v 登录/v pms/eng 测试环境/n 账号/n 要/v 怎么/r 开通/v
请问/v 如何/r 申请/v 外网/n 测试环境/n 的/uj 账号/n,请问/v 内网/n 测试环境/n 的/uj 权限/n 该/r 如何/r 申请/v
请问/v 如何/r 申请/v 外网/n 测试环境/n 的/uj 账号/n,请问/v 内网/n 测试环境/n 的/uj portal/eng 账号/n 该/r 如何/r 申请/v
请问/v 如何/r 申请/v 外网/n 测试环境/n 的/uj 账号/n,请问/v 公网/n 测试环境/n 的/uj 权限/n 怎么/r 开通/v
请问/v 如何/r 申请/v 外网/n 测试环境/n 的/uj 账号/n,测试环境/n 的/uj 账号/n 也/d 要/v 申请/v 吗/y
请问/v 如何/r 申请/v 外网/n 测试环境/n 的/uj 账号/n,测试环境/n 的/uj 权限/n 也/d 要/v 申请/v 吗/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,portal/eng 测试环境/n 登录不了/v 是/v 有/v ip/eng 限制/v 吗/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,请问/v portal/eng 测试环境/n 有/v ip/eng 限制/v 吗/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,你好/l 我/r 想/v 问/v 一下/m 登录/v portal/eng 测试环境/n 是因为/c ip/eng 限制/v 吗/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,portal/eng 登录/v 有没有/v ip/eng 限制/v
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,你好/l 我/r 想/v 登录/v portal/eng 的/uj 测试环境/n 它/r 会/v 不会/v 限制/v 我/r 的/uj ip/eng 呢/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,portal/eng 的/uj 测试环境/n 有没有/v ip/eng 登录/v 限制/v
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,登录/v portal/eng 的/uj 测试环境/n 会/v 受到/v ip/eng 限制/v 吗/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,portal/eng 的/uj 测试环境/n 会/v 因为/c ip/eng 被/p 限制/v 登录不上/v 吗/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,会/v 不会/v 因为/c ip/eng 被/p 限制/v 而/c 登录不上/v portal/eng 的/uj 测试环境/n
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,你好/l 我/r 登录不上/v portal/eng 的/uj 测试环境/n 是不是/l 因为/c ip/eng 被/p 限制/v 了/ul 呢/y
登录/v portal/eng 测试环境/n 有没有/v ip/eng 限制/v,是不是/l 因为/c ip/eng 被/p 限制/v 而/c 登录不上/v portal/eng 的/uj 测试环境/n
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,请问/v 下/f 我/r 想要/v 新增/v 数据/n 资源/n 要/v 走/v 什么/r 流程/n
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,你好/l 新增/v 数据/n 资源/n 要/v 走/v 什么/r 流程/n
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,你好/l 我/r 想要/v 新增/v 数据/n 资源/n 要/v 走/v 什么/r 流程/n
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,你好/l 我们/r 有/v 新增/v 数据/n 资源/n 的/uj 流程/n 吗/y 具体/a 是/v 怎样/r 的/uj
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,请问/v 添加/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,我/r 想/v 新增/v 数据/n 资源/n 请问/v 流程/n 是/v 什么样/r 的/uj
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,数据/n 资源/n 的/uj 新增/v 流程/n 是/v 什么/r
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,数组/n 资源/n 添加/v 的/uj 流程/n 是/v 什么/r
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,要/v 怎么/r 做/v 才能/v 新增/v 数据/n 资源/n
请问/v 新增/v 数据/n 资源/n 的/uj 流程/n 是/v 什么/r,请问/v 怎样/r 新增/v 数据/n 资源/n 呢/y
我/r 的/uj 权限/n 是/v maa/eng 的/uj 产品/n 权限/n 但是/c 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y,maa/eng 的/uj 产品/n 权限/n 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y
我/r 的/uj 权限/n 是/v maa/eng 的/uj 产品/n 权限/n 但是/c 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y,为什么/r maa/eng 的/uj 产品/n 权限/n 却/d 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n
我/r 的/uj 权限/n 是/v maa/eng 的/uj 产品/n 权限/n 但是/c 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y,maa/eng 的/uj 产品/n 权限/n 无法/n 查看/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 是/v 什么/r 原因/n 呢/y
我/r 的/uj 权限/n 是/v maa/eng 的/uj 产品/n 权限/n 但是/c 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y,我/r 有/v maa/eng 的/uj 产品/n 权限/n 为什么/r 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n
我/r 的/uj 权限/n 是/v maa/eng 的/uj 产品/n 权限/n 但是/c 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y,我/r 有/v maa/eng 的/uj 产品/n 权限/n 为什么/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n
我/r 的/uj 权限/n 是/v maa/eng 的/uj 产品/n 权限/n 但是/c 我/r 看不到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n 能/v 帮/v 我/r 看看/v 吗/y,怎么样/r 才能/v 看到/v portal/eng 上/ns maa/eng 所有/b 的/uj 客户名单/n
